Parameter,BG,PE,PVC,PMMA
BG pipe service life,0.378836388,0.378860686,0.378873774,0.429052185
PE pipe service life,0.442958041,0.442986704,0.442972082,0.389884891
PVC pipe service life,0.400091897,0.400109802,0.400115824,0.42621565
PMMA pipe service life,0.424714218,0.424731951,0.424754342,0.43868624
Distance to construction site,0.415604013,0.415609469,0.415594515,0.395892063
Pump efficiency,0.345285484,0.345285341,0.345311366,0.053556257
Pump service life,0.425021783,0.425005176,0.425021037,0.466236189
Pipe Diameter,0.413859461,0.413848016,0.413895726,0.465689815
PBR HRT,0.302130956,0.30209731,0.302126929,0.053380366
Wastage Rate,0.431243582,0.431217239,0.431205912,0.513899312
Artifical Light Intensity ,0.427974516,0.428002685,0.427984228,0.464439488
BG pipe cost,0.437467768,0.43749094,0.437478596,0.441426989
PE pipe cost,0.387353626,0.387346984,0.387359553,0.431731879
PVC pipe cost,0.456186911,0.456215555,0.456205583,0.446853854
PMMA pipe cost,0.43016306,0.43016197,0.43018322,0.405146516
